id,name,lat,lon,idname
MAO,Eduardo Gomes International,-3.038611,-60.049722,MAO (Eduardo Gomes International)
MAN,Manchester,53.353611,-2.275,MAN (Manchester)
MAQ,Mae Sot,16.699722,98.543611,MAQ (Mae Sot)
MAS,Momote,-2.065,147.425,MAS (Momote)
MAR,La Chinita International,10.558333,-71.727778,MAR (La Chinita International)
MAU,Maupiti,-16.426389,-152.24361,MAU (Maupiti)
DPL,Dipolog,8.604167,123.3425,DPL (Dipolog)
DPO,Devonport,-41.169722,146.430278,DPO (Devonport)
URA,Oral Ak Zhol,51.151111,51.541667,URA (Oral Ak Zhol)
DPS,Ngurah Rai International,-8.748056,115.167222,DPS (Ngurah Rai International)
MAZ,Eugenio María de Hostos,18.255833,-67.148611,MAZ (Eugenio María de Hostos)
URC,Ürümqi Diwopu International,43.907222,87.474167,URC (Ürümqi Diwopu International)
DPT,Deputatsky,69.3925,139.890278,DPT (Deputatsky)
URG,Ruben Berta International,-29.782222,-57.0375,URG (Ruben Berta International)
URJ,Uray,60.116111,64.83,URJ (Uray)
MBA,Moi International,-4.028056,39.599722,MBA (Moi International)
MBD,Mahikeng,-25.798333,25.548056,MBD (Mahikeng)
MBE,Monbetsu,44.303889,143.404167,MBE (Monbetsu)
URO,Rouen,49.390833,1.183889,URO (Rouen)
MBJ,Sangster International,18.503611,-77.913333,MBJ (Sangster International)
DQA,Daqing Sartu,46.75,125.139167,DQA (Daqing Sartu)
MBI,Mbeya,-8.919722,33.463889,MBI (Mbeya)
MBL,Manistee County Blacker,44.273056,-86.252222,MBL (Manistee County Blacker)
URT,Surat Thani International,9.136111,99.139167,URT (Surat Thani International)
URS,Kursk Vostochny,51.750556,36.295556,URS (Kursk Vostochny)
URY,Gurayat Domestic,31.411944,37.279444,URY (Gurayat Domestic)
MBT,Moises R. Espinosa,12.368889,123.629444,MBT (Moises R. Espinosa)
MBS,MBS International,43.531944,-84.0825,MBS (MBS International)
DQM,Duqm Jaaluni,19.5,57.642778,DQM (Duqm Jaaluni)
USA,Concord Regional,35.387778,-80.709167,USA (Concord Regional)
MBX,Maribor Edvard Rusjan,46.48,15.686111,MBX (Maribor Edvard Rusjan)
USH,Ushuaia – Malvinas Argentinas International,-54.843333,-68.295556,USH (Ushuaia – Malvinas Argentinas International)
USK,Usinsk,66.004444,57.367222,USK (Usinsk)
USM,Samui,9.550278,100.0625,USM (Samui)
MCE,Merced Regional,37.283333,-120.51667,MCE (Merced Regional)
MCG,McGrath,62.953611,-155.60556,MCG (McGrath)
USN,Ulsan,35.593611,129.351667,USN (Ulsan)
MCI,Kansas City International,39.2975,-94.713889,MCI (Kansas City International)
USQ,Uşak,38.681389,29.471667,USQ (Uşak)
MCK,McCook Ben Nelson Regional,40.207778,-100.59278,MCK (McCook Ben Nelson Regional)
USR,Ust-Nera,64.549444,143.110833,USR (Ust-Nera)
MCM,Monaco Heliport,43.726111,7.42,MCM (Monaco Heliport)
USU,Francisco B. Reyes,12.121389,120.1,USU (Francisco B. Reyes)
UST,Northeast Florida Regional,29.961389,-81.341111,UST (Northeast Florida Regional)
MCO,Orlando International,28.429444,-81.308889,MCO (Orlando International)
DRG,Deering,66.069444,-162.76639,DRG (Deering)
MCN,Middle Georgia Regional,32.696111,-83.648056,MCN (Middle Georgia Regional)
MCP,Macapá International,0.050556,-51.072222,MCP (Macapá International)
DRK,Drake Bay,8.719167,-83.641944,DRK (Drake Bay)
MCT,Muscat International,23.592778,58.281667,MCT (Muscat International)
DRO,Durango–La Plata County,37.152222,-107.75361,DRO (Durango–La Plata County)
MCW,Mason City Municipal,43.155833,-93.335833,MCW (Mason City Municipal)
MCV,McArthur River Mine,-16.442222,136.083056,MCV (McArthur River Mine)
MCY,Sunshine Coast,-26.603333,153.091111,MCY (Sunshine Coast)
MCX,Uytash,42.816944,47.652222,MCX (Uytash)
DRS,Dresden,51.134444,13.768056,DRS (Dresden)
MCZ,Zumbi dos Palmares International,-9.510833,-35.791667,MCZ (Zumbi dos Palmares International)
UTH,Udon Thani International,17.386389,102.788333,UTH (Udon Thani International)
DRW,Darwin International,-12.414722,130.876667,DRW (Darwin International)
DRV,Dharavandhoo,5.156944,73.13,DRV (Dharavandhoo)
MDC,Sam Ratulangi International,1.549167,124.926389,MDC (Sam Ratulangi International)
UTN,Upington,-28.399167,21.260278,UTN (Upington)
MDE,José María Córdova International,6.164444,-75.423056,MDE (José María Córdova International)
UTP,U-Tapao International,12.679722,101.005,UTP (U-Tapao International)
MDG,Mudanjiang Hailang International,44.524167,129.568889,MDG (Mudanjiang Hailang International)
UTO,Indian Mountain Lrrs,65.992778,-153.70444,UTO (Indian Mountain Lrrs)
DSA,Doncaster Sheffield,53.475278,-1.003889,DSA (Doncaster Sheffield)
UTT,Mthatha,-31.547778,28.674167,UTT (Mthatha)
MDL,Mandalay International,21.702222,95.978056,MDL (Mandalay International)
MDK,Mbandaka,0.0225,18.288611,MDK (Mbandaka)
UTS,Ust-Tsilma,65.433333,52.201667,UTS (Ust-Tsilma)
DSE,Combolcha,11.083333,39.716667,DSE (Combolcha)
MDQ,Astor Piazzolla International,-37.934167,-57.573333,MDQ (Astor Piazzolla International)
MDT,Harrisburg International,40.193611,-76.763333,MDT (Harrisburg International)
DSN,Ordos Ejin Horo,39.492222,109.863056,DSN (Ordos Ejin Horo)
DSM,Des Moines International,41.534167,-93.657778,DSM (Des Moines International)
MDU,Mendi,-6.147778,143.657222,MDU (Mendi)
UUA,Bugulma,54.635278,52.799167,UUA (Bugulma)
MDW,Chicago Midway International,41.786111,-87.7525,MDW (Chicago Midway International)
MDZ,Governor Francisco Gabrielli International,-32.831667,-68.792778,MDZ (Governor Francisco Gabrielli International)
DSS,Blaise Diagne International Airport,14.671111,-17.066944,DSS (Blaise Diagne International Airport)
UUD,Baikal International,51.807778,107.437778,UUD (Baikal International)
MEC,Eloy Alfaro International,-0.946111,-80.678889,MEC (Eloy Alfaro International)
MEB,Essendon,-37.733333,144.9,MEB (Essendon)
MEE,Mare Airport,-21.481701,168.037994,MEE (Mare Airport)
MED,Prince Mohammad bin Abdulaziz,24.553333,39.705,MED (Prince Mohammad bin Abdulaziz)
